transaction_id,user_id,account_id,category_id,amount,transaction_date,transaction_time,description,payment_method,merchant_name,location_city,location_country,reference_number,is_recurring,created_at
5000,3619,2001,1,65843.09,2025-01-05,06:41:13,Monthly salary,bank_transfer,Employer Ltd,Machakos,Kenya,PAY212149,1,2025-01-05
5001,3619,2001,1,56760.73,2025-02-02,10:46:41,Monthly salary,bank_transfer,HR Payroll,Thika,Kenya,PAY531097,1,2025-02-02
5002,3619,2001,1,62226.39,2025-03-03,20:42:12,Monthly salary,bank_transfer,Employer Ltd,Machakos,Kenya,PAY470334,1,2025-03-03
5003,3619,2000,1,64764.29,2025-04-02,21:31:17,Monthly salary,mobile_money,Employer Ltd,Eldoret,Kenya,PAY103205,1,2025-04-02
5004,3619,2001,1,59863.29,2025-05-01,07:47:29,Monthly salary,mobile_money,Employer Ltd,Machakos,Kenya,PAY215780,1,2025-05-01
5005,3619,2001,1,55969.14,2025-06-03,11:27:49,Monthly salary,bank_transfer,HR Payroll,Kiambu,Kenya,PAY899679,1,2025-06-03
5006,3619,2000,1,61345.55,2025-07-03,15:41:14,Monthly salary,mobile_money,Employer Ltd,Kitale,Kenya,PAY389003,1,2025-07-03
5007,3619,2001,1,65892.64,2025-08-03,11:30:14,Monthly salary,mobile_money,Employer Ltd,Nairobi,Kenya,PAY918946,1,2025-08-03
5008,3619,2000,1,62053.93,2025-09-04,13:35:32,Monthly salary,bank_transfer,Employer Ltd,Eldoret,Kenya,PAY856277,1,2025-09-04
5009,3619,2001,1,60568.17,2025-10-01,14:55:42,Monthly salary,mobile_money,HR Payroll,Nairobi,Kenya,PAY166026,1,2025-10-01
5010,3619,2000,1,57181.55,2025-11-03,14:51:15,Monthly salary,bank_transfer,HR Payroll,Nyeri,Kenya,PAY103534,1,2025-11-03
5011,3619,2000,1,65833.7,2025-12-03,19:36:21,Monthly salary,bank_transfer,HR Payroll,Nakuru,Kenya,PAY296473,1,2025-12-03
5012,3619,2001,12,-5584.44,2025-08-06,14:44:51,Airtime & Data,card,Huduma Centre,Kakamega,Kenya,TX982806,1,2025-08-06
5013,3619,2001,2,21804.78,2025-07-14,21:39:12,Freelance Income,cash,Quickmart,Ruiru,Kenya,TX452476,0,2025-07-14
5014,3619,2001,8,-8730.3,2025-05-04,16:31:14,Eating Out,mobile_money,Carrefour,Mombasa,Kenya,TX692612,0,2025-05-04
5015,3619,2000,4,-8364.73,2025-07-30,07:13:29,Groceries,mobile_money,Uber,Kakamega,Kenya,TX675215,1,2025-07-30
5016,3619,2001,12,-4525.72,2025-03-11,13:47:13,Airtime & Data,mobile_money,Quickmart,Eldoret,Kenya,TX112266,1,2025-03-11
5017,3619,2001,2,4988.16,2025-05-24,20:57:13,Freelance Income,card,Uber,Mombasa,Kenya,TX944539,0,2025-05-24
5018,3619,2001,13,-13842.13,2025-11-03,13:02:30,Savings Deposit,card,Naivas,Ruiru,Kenya,TX613329,1,2025-11-03
5019,3619,2000,13,-10173.27,2025-07-30,16:06:05,Savings Deposit,card,Gikomba Market,Nairobi,Kenya,TX547852,1,2025-07-30
5020,3619,2001,6,-2130.72,2025-08-20,11:01:47,Utilities,mobile_money,Gikomba Market,Nakuru,Kenya,TX280426,1,2025-08-20
5021,3619,2000,4,-4339.6,2025-01-24,11:12:52,Groceries,card,Chicken Inn,Naivasha,Kenya,TX164251,1,2025-01-24
5022,3619,2001,4,-14569.73,2025-11-13,10:02:07,Groceries,card,KFC,Kakamega,Kenya,TX893341,1,2025-11-13
5023,3619,2001,14,-1452.71,2025-12-18,19:09:44,Loan Repayment,card,KCB ATM,Machakos,Kenya,TX107993,1,2025-12-18
5024,3619,2000,6,-17879.43,2025-01-18,11:43:53,Utilities,mobile_money,Carrefour,Kiambu,Kenya,TX265186,1,2025-01-18
5025,3619,2000,2,7853.8,2025-03-20,19:06:27,Freelance Income,card,Gikomba Market,Kitale,Kenya,TX645534,0,2025-03-20
5026,3619,2001,8,-3608.27,2025-03-22,12:28:27,Eating Out,bank_transfer,Gikomba Market,Thika,Kenya,TX372869,0,2025-03-22
5027,3619,2000,12,-7635.42,2025-01-11,12:25:18,Airtime & Data,bank_transfer,Carrefour,Ruiru,Kenya,TX709644,1,2025-01-11
5028,3619,2000,13,-4748.81,2025-12-22,10:57:03,Savings Deposit,mobile_money,KCB ATM,Machakos,Kenya,TX781212,1,2025-12-22
5029,3619,2000,1,7907.48,2025-09-23,11:34:56,Salary,card,Jumia,Nairobi,Kenya,TX633112,0,2025-09-23
5030,3619,2000,4,-10843.82,2025-10-03,08:21:33,Groceries,cash,Gikomba Market,Thika,Kenya,TX675571,1,2025-10-03
5031,3619,2000,14,-17034.85,2025-04-02,07:27:31,Loan Repayment,card,Bolt,Kiambu,Kenya,TX928404,1,2025-04-02
5032,3619,2000,12,-12571.83,2025-11-22,08:33:09,Airtime & Data,mobile_money,Nairobi Hospital,Kitale,Kenya,TX764644,1,2025-11-22
5033,3619,2000,12,-5670.96,2025-06-14,20:10:43,Airtime & Data,cash,Naivas,Nairobi,Kenya,TX902663,1,2025-06-14
5034,3619,2000,13,-14517.18,2025-01-14,06:55:51,Savings Deposit,mobile_money,Java House,Kisumu,Kenya,TX894357,1,2025-01-14
5035,1456,2002,1,45786.84,2025-01-02,21:51:06,Monthly salary,mobile_money,HR Payroll,Nairobi,Kenya,PAY925717,1,2025-01-02
5036,1456,2002,1,52147.28,2025-02-03,16:24:43,Monthly salary,bank_transfer,HR Payroll,Kiambu,Kenya,PAY406328,1,2025-02-03
5037,1456,2003,1,46552.6,2025-03-05,10:38:42,Monthly salary,mobile_money,HR Payroll,Naivasha,Kenya,PAY647589,1,2025-03-05
5038,1456,2002,1,46465.7,2025-04-03,22:39:50,Monthly salary,bank_transfer,HR Payroll,Machakos,Kenya,PAY591650,1,2025-04-03
5039,1456,2002,1,50028.29,2025-05-04,06:02:38,Monthly salary,bank_transfer,Employer Ltd,Kakamega,Kenya,PAY373977,1,2025-05-04
5040,1456,2002,1,48736.93,2025-06-03,08:23:46,Monthly salary,mobile_money,Employer Ltd,Machakos,Kenya,PAY496069,1,2025-06-03
5041,1456,2002,1,47317.21,2025-07-02,14:32:14,Monthly salary,mobile_money,HR Payroll,Kakamega,Kenya,PAY151378,1,2025-07-02
5042,1456,2003,1,48059.82,2025-08-02,18:46:02,Monthly salary,bank_transfer,HR Payroll,Nairobi,Kenya,PAY526489,1,2025-08-02
5043,1456,2002,1,47363.05,2025-09-05,20:39:22,Monthly salary,bank_transfer,Employer Ltd,Kisumu,Kenya,PAY167648,1,2025-09-05
5044,1456,2002,1,47637.02,2025-10-01,09:55:25,Monthly salary,mobile_money,Employer Ltd,Nyeri,Kenya,PAY655000,1,2025-10-01
5045,1456,2002,1,47575.05,2025-11-03,11:35:30,Monthly salary,mobile_money,Employer Ltd,Nyeri,Kenya,PAY303272,1,2025-11-03
5046,1456,2003,1,52136.85,2025-12-02,22:41:04,Monthly salary,mobile_money,HR Payroll,Nakuru,Kenya,PAY262383,1,2025-12-02
5047,1456,2002,3,-6043.99,2025-12-23,18:39:43,Rent,card,M-Pesa Agent,Meru,Kenya,TX776526,1,2025-12-23
5048,1456,2003,7,-17613.03,2025-06-02,11:01:15,Internet,card,KFC,Kitale,Kenya,TX860457,1,2025-06-02
5049,1456,2003,4,-1826.93,2025-02-23,15:49:16,Groceries,mobile_money,Huduma Centre,Eldoret,Kenya,TX762314,1,2025-02-23
5050,1456,2003,3,-17352.21,2025-07-01,17:48:18,Rent,mobile_money,Shell Petrol Station,Machakos,Kenya,TX926968,1,2025-07-01
5051,1456,2002,12,-13727.03,2025-12-12,17:21:34,Airtime & Data,cash,TotalEnergies,Ruiru,Kenya,TX864670,1,2025-12-12
5052,1456,2002,11,-8341.59,2025-02-13,21:24:19,Education,cash,Chicken Inn,Nyeri,Kenya,TX703675,0,2025-02-13
5053,1456,2002,13,-11210.59,2025-04-26,09:23:15,Savings Deposit,card,Gikomba Market,Thika,Kenya,TX860736,1,2025-04-26
5054,1456,2002,8,-6930.59,2025-11-09,07:43:44,Eating Out,cash,Quickmart,Ruiru,Kenya,TX405530,0,2025-11-09
5055,1456,2002,4,-7230.26,2025-04-21,12:48:52,Groceries,cash,Java House,Kitale,Kenya,TX228115,1,2025-04-21
5056,1456,2003,12,-1983.14,2025-04-24,10:51:06,Airtime & Data,bank_transfer,M-Pesa Agent,Naivasha,Kenya,TX856287,1,2025-04-24
5057,1456,2002,9,-2010.09,2025-01-25,12:15:37,Entertainment,card,KCB ATM,Nakuru,Kenya,TX241250,0,2025-01-25
5058,1456,2003,11,-8251.61,2025-06-15,13:02:56,Education,mobile_money,Carrefour,Mombasa,Kenya,TX886476,0,2025-06-15
5059,1456,2003,13,-19222.65,2025-06-17,18:06:29,Savings Deposit,bank_transfer,M-Pesa Agent,Nairobi,Kenya,TX111190,1,2025-06-17
5060,1456,2002,4,-6824.85,2025-01-14,06:37:06,Groceries,bank_transfer,Uber,Nyeri,Kenya,TX234120,1,2025-01-14
5061,1456,2002,4,-12809.3,2025-12-19,18:21:30,Groceries,bank_transfer,Gikomba Market,Kitale,Kenya,TX397427,1,2025-12-19
5062,1456,2002,12,-13666.39,2025-08-01,06:56:39,Airtime & Data,bank_transfer,KFC,Meru,Kenya,TX930558,1,2025-08-01
5063,1456,2003,3,-1604.07,2025-01-30,08:19:38,Rent,mobile_money,M-Pesa Agent,Kakamega,Kenya,TX909361,1,2025-01-30
